# playback: video1_720p60.playback.raw capture: video1_720p60.capture.raw
# Timestamp: 2017-01-21 18:51:22.234760
# frame_index,sent_cpu_timestamp,received_cpu_timestamp,delay_cpu_time,sent_decklink_timestamp,received_decklink_time,delay_decklink_time,ssim_total,ssim_Y,ssim_Cb,ssim_Cr
1343,1485049934949693,1485049935335610,385917,80413779174,80414164470,385296,0.93783,0.868423,0.975348,0.9697
1351,1485049935083227,1485049935469153,385926,80413912627,80414297946,385319,0.938048,0.868638,0.97623,0.969275
1359,1485049935216598,1485049935602522,385924,80414046104,80414431375,385271,0.939192,0.87149,0.975988,0.970099
1367,1485049935350047,1485049935736013,385966,80414179531,80414564852,385321,0.938666,0.870392,0.975811,0.969793
1375,1485049935483497,1485049935869441,385944,80414312984,80414698278,385294,0.938614,0.870644,0.975655,0.969544
1383,1485049935616942,1485049936002887,385945,80414446463,80414831731,385268,0.939338,0.871489,0.976504,0.970022
1391,1485049935750449,1485049936136369,385920,80414579892,80414965183,385291,0.93813,0.869266,0.975535,0.969591
1399,1485049935883872,1485049936269796,385924,80414713373,80415098637,385264,0.938541,0.869829,0.976116,0.969676
1407,1485049936017348,1485049936403295,385947,80414846820,80415232114,385294,0.938715,0.871372,0.975259,0.969513
1415,1485049936150801,1485049936536693,385892,80414980246,80415365541,385295,0.939712,0.872476,0.976022,0.970637
1423,1485049936284254,1485049936670138,385884,80415113728,80415498994,385266,0.940045,0.873768,0.975986,0.970381
1431,1485049936417710,1485049936803551,385841,80415247176,80415632446,385270,0.939875,0.873846,0.975692,0.970088
1439,1485049936551160,1485049936937021,385861,80415380606,80415765898,385292,0.940407,0.87597,0.97542,0.969829
1447,1485049936684599,1485049937070537,385938,80415514084,80415899377,385293,0.941473,0.877491,0.976451,0.970478
1455,1485049936818027,1485049937203943,385916,80415647510,80416032829,385319,0.940358,0.875041,0.976008,0.970025
1463,1485049936951523,1485049937337356,385833,80415780987,80416166254,385267,0.940248,0.874811,0.97589,0.970044
1471,1485049937085049,1485049937470809,385760,80415914439,80416299707,385268,0.94022,0.874453,0.97634,0.969867
1479,1485049937218336,1485049937604294,385958,80416047864,80416433159,385295,0.941038,0.876539,0.976146,0.9704
1487,1485049937351827,1485049937737725,385898,80416181344,80416566611,385267,0.940847,0.876355,0.975762,0.970425
1495,1485049937485282,1485049937871294,386012,80416314771,80416700095,385324,0.940772,0.876706,0.975424,0.970187
1503,1485049937618704,1485049938004707,386003,80416448221,80416833517,385296,0.941563,0.876818,0.977035,0.970837
1511,1485049937752140,1485049938138118,385978,80416581672,80416966968,385296,0.941418,0.877687,0.976281,0.970286
1519,1485049937885689,1485049938271558,385869,80416715156,80417100420,385264,0.940055,0.874945,0.975281,0.9699
1527,1485049938019136,1485049938405020,385884,80416848608,80417233873,385265,0.940361,0.875241,0.975762,0.9700
1535,1485049938152579,1485049938538488,385909,80416982053,80417367349,385296,0.940683,0.874908,0.976499,0.970643
1543,1485049938285954,1485049938671882,385928,80417115482,80417500777,385295,0.939787,0.873145,0.975942,0.970273
1551,1485049938419444,1485049938805395,385951,80417248963,80417634254,385291,0.939527,0.872752,0.975662,0.970168
1559,1485049938552897,1485049938938849,385952,80417382415,80417767707,385292,0.939551,0.873037,0.975655,0.969961
1567,1485049938686353,1485049939072277,385924,80417515863,80417901135,385272,0.940332,0.874111,0.976373,0.9705
1575,1485049938819798,1485049939205776,385978,80417649292,80418034587,385295,0.93981,0.873191,0.976156,0.970082
1583,1485049938953237,1485049939339257,386020,80417782746,80418168069,385323,0.939294,0.872264,0.975577,0.970041
1591,1485049939086719,1485049939472617,385898,80417916227,80418301492,385265,0.939181,0.870685,0.976867,0.9699
1599,1485049939220172,1485049939606159,385987,80418049651,80418434969,385318,0.93964,0.871858,0.976502,0.9705
1607,1485049939353727,1485049939739586,385859,80418183103,80418568417,385314,0.938591,0.869806,0.975917,0.970049
1615,1485049939487088,1485049939873035,385947,80418316557,80418701877,385320,0.938226,0.868878,0.975598,0.970203
1623,1485049939620531,1485049940006446,385915,80418450008,80418835302,385294,0.939116,0.870407,0.976518,0.970422
1631,1485049939753952,1485049940139930,385978,80418583478,80418968783,385305,0.939249,0.871693,0.97556,0.970495
1639,1485049939887446,1485049940273356,385910,80418716938,80419102207,385269,0.939173,0.872515,0.975077,0.969925
1647,1485049940020879,1485049940406831,385952,80418850364,80419235689,385325,0.939577,0.873501,0.975237,0.969994
1655,1485049940154398,1485049940540246,385848,80418983816,80419369110,385294,0.94112,0.876356,0.976204,0.970
1663,1485049940287820,1485049940673790,385970,80419117299,80419502591,385292,0.9406,0.875514,0.975586,0.970701
1671,1485049940421211,1485049940807218,386007,80419250721,80419636041,385320,0.939879,0.874377,0.975189,0.970071
1679,1485049940554730,1485049940940651,385921,80419384198,80419769467,385269,0.939535,0.873099,0.975225,0.970281
1687,1485049940688165,1485049941074146,385981,80419517652,80419902945,385293,0.939924,0.873354,0.975862,0.970557
1695,1485049940821607,1485049941207716,386109,80419651103,80420036402,385299,0.93953,0.872989,0.975575,0.970026
1703,1485049940955109,1485049941341075,385966,80419784556,80420169828,385272,0.939625,0.873409,0.975379,0.970088
1711,1485049941088482,1485049941474508,386026,80419917983,80420303300,385317,0.939586,0.872782,0.976312,0.969665
1719,1485049941222032,1485049941624615,402583,80420051464,80420453440,401976,0.940583,0.87514,0.97641,0.970198
